CLIENT_NAME,NORMALISED_COUNTRY
Adecco - Switzerland - Opti,Switzerland
MVT,United States
Piening GmbH Bielefeld - Exchange,Germany
Uber Eats,Australia
Piening GmbH Bielefeld,Germany
Just Eat Takeaway - Courier,Austria
Uber Eats,Canada
inCare by Piening,Germany
Piening GmbH Berlin,Germany
Just Eat Takeaway - Courier,Switzerland
Uber exchange,Argentina
Just Eat Takeaway - Corporate,Netherlands
Uber exchange,United States
ING Netherlands,Netherlands
KCB,Canada
LHH Recruitment Solutions,Guadeloupe
TAG - LHH - USA,United States
Lonza,Switzerland
Spring Health,United States
Uber exchange,Russia
ING Netherlands Euro exchange,Netherlands
The UVM Health Network,United States
Adecco,Germany
Recruitics - DE,Singapore
GetScale,United States
Mundipharma,Spain
RSR- Lonza SGD Exchange,United States
Hoops HR,United States
Johnson and Johnson- EU,Netherlands
Publicis Sapient,Mexico
Wuxi AppTec,Germany
DIS AG-Exchange,United States
Publicis Sapient,Sweden
Publicis Sapient- Exchange,Costa Rica
Wells Fargo,France
LHH - Switzerland - Opti,Liechtenstein
Just Eat Takeaway - Courier,Spain
Just Eat Takeaway - Corporate,Poland
KAG,United States
Adecco,Netherlands
Adecco,Switzerland
Penna Tesco,United Kingdom
Adecco - France,Monaco
W.W.Williams,United States
Adecco Belgium Exchange,Belgium
Recruitics - DE,Netherlands
Publicis Sapient,Costa Rica
Galderma,United States
Spring Health,United States
Recruitics - DE,Finland
CH Regionalmedien AG,Italy
LHH Recruitment Solutions,Monaco
Scale AI,Japan
TAG - Modis - USA,United States
David Lloyd,France
Recruitics - DE,Philippines
Just Eat Takeaway - Corporate,Slovakia
Touchmark,Canada
Proserv DE Exchange,United States
Lonza - NAM,United States
Recruitics - DE,Turkey
CWB,United States
Clayton Homes,United States
CAE,Austria
Honeywell,Poland
LHH,Luxembourg
Galderma,Japan
Uber,United States
Yellowshark,Switzerland
Wells Fargo,United States
Houston Methodist,United States
Uber Eats,Japan
DIS AG Central Campaigns Exchange,Germany
Uber eats exchange,Canada
Just Eat Takeaway - Courier,United Kingdom
Yacht,Netherlands
Adecco,Puerto Rico
Just Eat Takeaway - Courier,United States
Werner,United States
Infinite Healthcare - Exchange,United States
Omnicom Media GmbH,Germany
MB HC - Exchange,United States
DIS AG,United States
Publicis Sapient,Australia
Galderma,Sweden
LHH Recruitment Solutions,Reunion
DWA - Northrop Grumman,United States
Adecco - France,United States
LHH,United States
Adecco,United States
Mars,United Kingdom
Just Eat Takeaway - Corporate,Canada
Knight Transportation,United States
Lonza,United Kingdom
LHH Recruitment Solutions,Martinique
Lionstep AG,United States
Publicis Sapient- Exchange,Mexico
Randstad DE,United States
Just Eat Takeaway - Courier,Canada
Lonza,Germany
DWA - Northrop Grumman,Germany
FLINT,United States
Just Eats Takeaway - Scoober - Courier,Australia
Publicis Sapient,United Arab Emirates
Mundipharma,Netherlands
Acelero,United States
CH Regionalmedien AG,United States
Adecco - Switzerland - Opti,United States
Just Eat Takeaway - Corporate,Germany
Lionstep AG,Austria
